elapsed_s,cpu_percent,ram_mb,ram_percent
0.0,2.3,4165.0,203.4
0.5,0.9,4164.2,203.3
1.0,2.2,4163.6,203.3
1.5,0.8,4163.4,203.3
2.0,0.9,4162.9,203.3
2.5,0.8,4162.9,203.3
3.0,0.8,4162.7,203.3
3.5,0.8,4162.7,203.3
4.01,3.1,4162.5,203.2
4.51,0.8,4162.5,203.2
5.01,0.8,4162.3,203.2
5.51,0.8,4162.0,203.2
6.01,1.3,4162.0,203.2
6.51,0.8,4162.0,203.2
7.01,0.8,4161.9,203.2
7.51,0.8,4161.8,203.2
8.01,0.8,4162.3,203.2
8.51,0.8,4162.1,203.2
9.01,3.3,4162.2,203.2
9.51,0.8,4162.2,203.2
10.01,0.8,4161.8,203.2
10.51,0.8,4161.8,203.2
11.01,2.2,4161.8,203.2
11.52,0.8,4161.7,203.2
12.02,1.5,4161.4,203.2
12.52,0.8,4161.2,203.2
13.02,0.9,4161.2,203.2
13.52,0.8,4161.1,203.2
14.02,1.9,4161.1,203.2
14.52,0.8,4161.1,203.2
15.02,0.8,4161.5,203.2
15.52,0.8,4161.5,203.2
16.02,2.2,4161.5,203.2
16.52,0.8,4161.5,203.2
17.02,0.8,4161.5,203.2
17.52,0.8,4161.5,203.2
18.02,0.8,4161.5,203.2
18.52,0.8,4161.5,203.2
19.03,3.4,4161.1,203.2
19.53,0.8,4161.1,203.2
20.03,0.8,4161.1,203.2
20.53,0.8,4161.1,203.2
21.03,2.1,4161.1,203.2
21.53,0.8,4161.1,203.2
22.03,0.8,4161.1,203.2
22.53,0.8,4161.1,203.2
23.03,0.8,4161.1,203.2
23.53,0.8,4161.1,203.2
24.03,1.9,4161.1,203.2
24.53,0.8,4161.2,203.2
25.03,0.8,4161.2,203.2
25.53,0.8,4161.2,203.2
26.03,1.9,4161.1,203.2
26.54,0.8,4161.1,203.2
27.04,0.8,4161.1,203.2
27.54,0.8,4161.1,203.2
28.04,0.8,4161.1,203.2
28.54,0.8,4161.1,203.2
29.04,2.8,4161.1,203.2
29.54,0.8,4161.1,203.2
30.04,0.8,4161.1,203.2
30.54,0.8,4161.1,203.2
31.04,2.1,4161.1,203.2
31.54,0.8,4161.1,203.2
32.04,0.9,4161.1,203.2
32.54,0.8,4161.1,203.2
33.04,0.8,4161.1,203.2
33.54,0.8,4161.1,203.2
34.05,3.0,4161.1,203.2
34.55,0.8,4161.1,203.2
35.05,0.8,4161.1,203.2
35.55,0.8,4161.1,203.2
36.05,2.0,4161.1,203.2
36.55,0.8,4161.1,203.2
37.05,0.8,4161.1,203.2
37.55,0.8,4161.1,203.2
38.05,0.8,4161.1,203.2
38.55,0.9,4161.1,203.2
39.05,2.8,4161.1,203.2
39.55,0.8,4161.1,203.2
40.05,0.8,4161.1,203.2
40.55,0.8,4161.1,203.2
41.05,2.2,4161.1,203.2
41.56,0.8,4161.1,203.2
42.06,0.9,4161.1,203.2
42.56,0.8,4161.1,203.2
43.06,0.8,4161.1,203.2
43.56,0.8,4161.1,203.2
44.06,2.8,4161.2,203.2
44.56,0.8,4161.2,203.2
45.06,0.8,4161.2,203.2
45.56,0.8,4161.1,203.2
46.06,1.8,4161.1,203.2
46.56,0.8,4161.1,203.2
47.06,0.8,4161.1,203.2
47.56,0.8,4161.1,203.2
48.06,0.8,4161.1,203.2
48.56,0.8,4161.1,203.2
49.07,2.7,4161.1,203.2
49.57,0.8,4161.1,203.2
50.07,0.8,4161.1,203.2
50.57,0.8,4161.1,203.2
51.07,1.2,4161.1,203.2
51.57,0.8,4161.1,203.2
52.07,1.0,4161.1,203.2
52.57,0.8,4161.1,203.2
53.07,0.8,4161.1,203.2
53.57,0.8,4161.1,203.2
54.07,2.4,4161.1,203.2
54.57,0.8,4161.1,203.2
55.07,0.8,4161.1,203.2
55.57,0.8,4161.1,203.2
56.08,1.5,4161.1,203.2
56.58,0.8,4160.9,203.2
57.08,0.8,4160.9,203.2
57.58,0.8,4160.9,203.2
58.08,0.8,4160.9,203.2
58.58,0.8,4160.9,203.2
59.08,2.8,4161.3,203.2
59.58,1.3,4161.2,203.2
60.08,0.8,4161.2,203.2
60.58,0.8,4161.2,203.2
61.08,1.7,4161.2,203.2
61.58,0.8,4161.2,203.2
62.08,0.9,4161.2,203.2
62.58,0.8,4161.2,203.2
63.08,0.8,4161.2,203.2
63.59,0.8,4161.2,203.2
64.09,1.1,4161.2,203.2
64.59,2.3,4161.2,203.2
65.09,0.9,4161.2,203.2
65.59,0.8,4161.2,203.2
66.09,2.2,4161.2,203.2
66.59,0.8,4161.2,203.2
67.09,0.8,4161.2,203.2
67.59,0.8,4161.2,203.2
68.09,0.8,4161.2,203.2
68.59,0.9,4161.2,203.2
69.09,2.1,4161.2,203.2
69.59,1.8,4161.2,203.2
70.09,0.8,4161.0,203.2
70.59,0.8,4161.0,203.2
71.1,2.0,4161.0,203.2
71.6,0.8,4161.0,203.2
72.1,0.9,4161.0,203.2
72.6,0.8,4161.0,203.2
73.1,0.8,4161.0,203.2
73.6,0.8,4161.0,203.2
74.1,1.5,4161.0,203.2
74.6,2.1,4161.0,203.2
75.1,0.8,4161.0,203.2
75.6,0.8,4161.7,203.2
76.1,1.2,4161.7,203.2
76.6,0.8,4161.7,203.2
77.1,1.0,4161.7,203.2
77.6,0.8,4161.7,203.2
78.1,0.8,4161.7,203.2
78.61,0.8,4161.7,203.2
79.11,2.0,4161.5,203.2
79.61,1.6,4161.5,203.2
80.11,0.8,4161.5,203.2
80.61,0.8,4161.5,203.2
81.11,2.1,4161.5,203.2
81.61,0.8,4161.7,203.2
82.11,0.9,4161.5,203.2
82.61,0.8,4161.5,203.2
83.11,0.8,4161.5,203.2
83.61,0.8,4161.5,203.2
84.11,1.5,4161.5,203.2
84.61,2.0,4161.5,203.2
85.11,0.8,4161.5,203.2
85.62,0.8,4161.5,203.2
86.12,2.1,4161.5,203.2
86.62,0.9,4161.5,203.2
87.12,0.8,4161.5,203.2
87.62,0.8,4161.5,203.2
88.12,0.8,4161.5,203.2
88.62,0.8,4161.5,203.2
89.12,1.8,4161.5,203.2
89.62,2.1,4161.5,203.2
90.12,0.8,4161.5,203.2
90.62,0.8,4161.5,203.2
91.12,1.4,4161.5,203.2
91.62,0.8,4161.6,203.2
92.12,0.9,4161.6,203.2
92.62,0.8,4161.6,203.2
93.13,0.8,4161.6,203.2
93.63,0.8,4161.6,203.2
94.13,2.0,4161.6,203.2
94.63,2.1,4161.6,203.2
95.13,0.8,4161.5,203.2
95.63,0.8,4161.6,203.2
96.13,2.2,4161.6,203.2
96.63,0.8,4161.6,203.2
97.13,0.8,4161.6,203.2
97.63,0.8,4161.6,203.2
98.13,0.8,4161.7,203.2
98.63,0.8,4161.5,203.2
99.13,2.1,4161.5,203.2
99.63,2.0,4161.5,203.2
100.14,0.8,4161.5,203.2
100.64,0.8,4161.5,203.2
101.14,2.2,4161.5,203.2
101.64,0.8,4161.5,203.2
102.14,0.8,4161.5,203.2
102.64,0.8,4161.5,203.2
103.14,0.8,4161.5,203.2
103.64,0.8,4161.5,203.2
104.14,1.3,4161.5,203.2
104.64,2.1,4161.5,203.2
105.14,0.9,4161.5,203.2
105.64,0.8,4161.5,203.2
106.14,1.8,4161.7,203.2
106.64,0.8,4161.7,203.2
107.15,0.8,4161.7,203.2
107.65,0.8,4161.7,203.2
108.15,0.8,4161.7,203.2
108.65,0.8,4161.5,203.2
109.15,2.3,4161.5,203.2
109.65,1.3,4161.5,203.2
110.15,0.8,4161.5,203.2
110.65,0.8,4161.5,203.2
111.15,2.0,4161.4,203.2
